Group Enrollment Form: County,Program Address,Program City,Program Name ,Program: Location,Group Enrollment Form: Number
Boone,,,,"Cherry Valley United Methodist Church, 112 Cherry St., Cherry Valley",7341
Boone,,,,"8200 Fairgrounds Rd., Belvidere, IL",7725
Boone,,,,Belvidere Township Building,3934
Boone,,,,Belvidere Township Building,3915
Boone,,,,,1593
Boone,,,,"Discovery Center, 711 N. Main St., Rockford, IL",7646
Boone,,,,"8200 Fairgrounds Rd., Belvidere, IL",7640
Boone,,,,"8200 Fairgrounds Rd., Belvidere, IL",7696
Boone,,,,Belvidere Township Building,3911
Boone,,,,"Belvidere South Middle School, 919 E. 6th St., Belvidere, IL",7314
Boone,,,,Seth Whitman Elementary,3041
Boone,,,,"Ida Public Library, 320 N. State St., Belvidere, IL",7343
Boone,,,,Evangelical Church,1077
Boone,,,,"Belvidere Central Middle School, 8787 Beloit Road, Belvidere, IL",7734
Boone,,,,"Meehan Elementary School, 1401 East Sixth St., Belvidere, IL",7328
Boone,,,,"Boone County Grange Hall, 8791 IL 76, Belvidere, IL",7347
Boone,,,,"Lincoln Elementary School, 1011 Bonus Ave., Belvidere, IL",7358
Boone,,,,Evangelical Church,3013
Boone,,,,Evangelical Church,1078
Boone,,,,Evangelical Church,1076
Boone,,,,"Caledonia Elementary School, 2311 Randolph St., Caledonia, IL",7316
Boone,,,,St. James School,3038
Boone,,,,Belvidere YMCA,1060
Boone,,,,Caledonia Elementary School,3024
Boone,,,,Capron Elementary,1070
Boone,,,,Evangelical Church,1084
Boone,,,,Poplar Grove Elementary - A. Massa,1068
Boone,,,,Belvidere Township Building,3940
Boone,,,,"Lincoln Elementary School, 1011 Bonus Ave., Belvidere, IL",7360
Boone,,,,"Salvation Army, 422 S. Main St., Belvidere, IL",7591
Boone,,,,Salvation Army,3905
Boone,,,,Evangelical Church,1075
Boone,,,,"Meehan Elementary School, 1401 East Sixth St., Belvidere, IL",7313
Boone,,,,"Caledonia Elementary School, 2311 Randolph St., Caledonia, IL",7326
Boone,,,,Meehan Elementary,3070
Boone,,,,"Seth Whitman Elementary School, 8080 Beloit Rd., Belvidere, IL",7361
Boone,,,,Evangelical Church,3009
Boone,,,,"Washington Academy, 1031 5th Ave., Belvidere, IL",7338
Boone,,,,Belvidere,3065
Boone,,,,Evangelical Church,3011
Boone,,,,Washington Academy,3036
Boone,,,,Manchester Elementary,3062
Boone,,,,Evangelical Church,3014
Boone,,,,Evangelical Church,1082
Boone,,,,Evangelical Church,3018
Boone,,,,Evangelical Church,1081
Boone,,,,Evangelical Church,3022
Boone,,,,"Seth Whitman Elementary School, 8080 Beloit Rd., Belvidere, IL",7373
Boone,,,,Evangelical Church,1088
Boone,,,,Caledonia Elementary School,3059
Boone,,,,Seth Whitman School,1064
Boone,,,,Seth Whitman School,1065
Boone,,,,Evangelical Church,1079
Boone,,,,Evangelical Church,3020
Boone,,,,"Manchester Elementary School, 3501 Blaine Rd., Poplar Grove, IL",7312
Boone,,,,"Seth Whitman Elementary School, 8080 Beloit Rd., Belvidere, IL",7339
Boone,,,,Evangelical Church,3019
Boone,,,,Seth Whitman School,1062
Boone,,,,Evangelical Church,3023
Boone,,,,Caledonia Elementary School,3085
Boone,,,,"Seth Whitman Elementary School, 8080 Beloit Rd., Belvidere, IL",7363
Boone,,,,Evangelical Church,3008
Boone,,,,"208 N State St, Poplar Grove, IL",8663
Boone,,,,Meehan Elementary,3067
Boone,,,,"Caledonia Elementary School, 2311 Randolph St., Caledonia, IL",7324
Boone,,,,"Washington Academy, 1031 5th Ave., Belvidere, IL",7336
Boone,,,,Washington Academy,3026
Boone,,,,"Seth Whitman Elementary School, 8080 Beloit Rd., Belvidere, IL",7371
Boone,,,,"Belvidere YMCA, 220 W. Locust St. #1, Belvidere, IL",7350
Boone,,,,Seth Whitman Elementary,3074
Boone,,,,Seth Whitman Elementary,3073
Boone,,,,Evangelical Church,3015
Boone,,,,Caledonia Elementary School,3080
Boone,,,,Caledonia Elementary School,3083
Boone,,,,Caledonia,3055
Boone,,,,"Caledonia Elementary School, 2311 Randolph St., Caledonia, IL",7315
Boone,,,,Belvidere Park District,1061
Boone,,,,Evangelical Church,1080
Boone,,,,Seth Whitman School,1066
Boone,,,,Seth Whitman Elementary,3076
Boone,,,,"Seth Whitman Elementary School, 8080 Beloit Rd., Belvidere, IL",7378
Boone,,,,"Washington Academy, 1031 5th Ave., Belvidere, IL",7332
Boone,,,,Washington Academy,3028
Boone,,,,"Lincoln Elementary School, 1011 Bonus Ave., Belvidere, IL",7354
Boone,,,,Caledonia Elementary School,3078
Boone,,,,"Washington Academy, 1031 5th Ave., Belvidere, IL",7330
Boone,,,,Washington Academy,3027
Boone,,,,Seth Whitman School,1063
Boone,,,,Evangelical Church,1074
Boone,,,,Evangelical Church,3021
Boone,,,,Washington Academy,3025
Boone,,,,"Lincoln Elementary School, 1011 Bonus Ave., Belvidere, IL",7359
Boone,,,,Salvation Army,3907
Boone,,,,Perry Elementary,3058
Boone,,,,Belvidere YMCA,1069
Boone,,,,"Washington Academy, 1031 5th Ave., Belvidere, IL",7329
Boone,,,,North Boone Upper Elementary,1067
Boone,,,,Washington Academy,3088
Boone,,,,"Discover Center, 711 N. Main St., Rockford, IL",7642
Brown-Schuyler,,,,Schuyler County Extension Office,1647
Brown-Schuyler,,,,Schuyler county Extension Office,1643
Brown-Schuyler,,,,Schuyler County Extension Office,194
Brown-Schuyler,,,,,7859
Brown-Schuyler,,,,Mt Sterling,3944
Brown-Schuyler,,,,Rushville,5207
Brown-Schuyler,,,,Rushville,3941
Brown-Schuyler,,,,Rushville,3942
Bureau,,,,220 Stewart St.,4475
Bureau,,,,Bureau County Extension Office,1579
Bureau,,,,Hall High School,316
Bureau,,,,220 Stewart St.,4135
Bureau,,,,"811 W Peru St, Princeton, IL",10025
Bureau,,,,314 S. Main St.,4156
Bureau,,,,314 S. Main St.,4160
Bureau,,,,"999 N Strong Ave, Spring Valley, IL",7980
Bureau,,,,850 Tho,4184
Bureau,,,,801 S. Main St.,7099
Bureau,,,,Imagine U Studios,2534
Bureau,,,,"119 E Main St, Tiskilwa",10016
Bureau,,,,"41 County Rd 1835 N, Princeton, IL",9598
Bureau,,,,Ohio School,270
Bureau,,,,215 E Cleveland St.,5249
Bureau,,,,"698 E Peru St, Princeton, IL",7990
Bureau,,,,530 Park Ave. E.,5332
Bureau,,,,"9154 County Rd 2125 N, Manlius, IL",9034
Bureau,,,,"103 S Memorial St, Ohio, IL",9910
Bureau,,,,815 N Orlando Smith St.,4787
Bureau,,,,"103 S Memorial St, Ohio, IL",9062
Bureau,,,,801 S. Main St.,7101
Bureau,,,,"530 Park Ave E, Princeton, IL",9112
Bureau,,,,John F. Kennedy Elementary,4890
Bureau,,,,"101 Depot St, DePue, IL",9717
Bureau,,,,Zearing Child Enrichment Center,1481
Bureau,,,,633 E Masonic Dr.,4180
Bureau,,,,103 S Memorial St.,4157
Bureau,,,,204 Pleasant St.,6010
Bureau,,,,JFK Special Needs Classroom,3007
Bureau,,,,"698 E Peru St, Princeton, IL",7994
Bureau,,,,"220 Stewart St, Buda, IL",9488
Bureau,,,,302 N Mason St.,4136
Bureau,,,,232 E Cleveland St.,4801
Bureau,,,,800 N Richards St.,5209
Bureau,,,,LaMoille Allen Junior High,146
Bureau,,,,"9154 County Rd 2125 N, Manlius, IL",8106
Bureau,,,,"850 E Thompson St, Princeton, IL",10468
Bureau,,,,850 North Orlando Smith Road,8468
Bureau,,,,LaMoille High School,1342
Bureau,,,,"204 Pleasant St., DePue, IL",9853
Bureau,,,,201 W. Main St.,5211
Bureau,,,,"837 Park Ave W, Princeton, IL",9515
Bureau,,,,800 N Richards St.,4889
Bureau,,,,"201 W. Commercial St., Neponset IL",9850
Bureau,,,,"9154 County Rd 2125 N, Manlius, IL",8107
Bureau,,,,DePue School,1581
Bureau,,,,Ladd Community School,319
Bureau,,,,201 W. Main St.,5787
Bureau,,,,800 N Richards St.,5210
Bureau,,,,800 N Richards St.,6483
Bureau,,,,103 S Euclid Ave.,4800
Bureau,,,,301 N. Main St.,4476
Bureau,,,,301 N. Main St.,4819
Bureau,,,,Neponset School,1578
Bureau,,,,Bureau Valley South,1196
Bureau,,,,201 W. Commercial St.,6148
Bureau,,,,103 S Euclid Ave.,4481
Bureau,,,,Bureau Valley High School,1353
Bureau,,,,Spring Vallley,1770
Bureau,,,,Hall High School,144
Bureau,,,,"944 First Street, LaSalle, IL",9909
Bureau,,,,201 W. Main St.,4034
Bureau,,,,"220 Stewart St, Buda, IL",9569
Bureau,,,,800 N Richards St.,4033
Bureau,,,,"201 W. Main St, Neponset, IL",8649
Bureau,,,,220 Stewart St.,3977
Bureau,,,,"800 N. Richards St., Spring Valley",9856
Bureau,,,,800 N Richards St.,4234
Bureau,,,,220 East LaSalle Street,4388
Bureau,,,,St. Margarets Hospital,315
Bureau,,,,302 West Central Avenue,4777
Bureau,,,,St Margaret's Hospital,147
Bureau,,,,800 N Richards St.,4236
Bureau,,,,302 West Central Avenue,5268
Bureau,,,,302 West Central Avenue,4420
Bureau,,,,41 1835 North Ave.,5250
Bureau,,,,Princeton,1197
Bureau,,,,"41 County Rd 1835 N, Princeton, IL",9036
Bureau,,,,811 W. Peru St.,4691
Bureau,,,,"811 W Peru St, Princeton, IL",8526
Bureau,,,,Bureau County Fairgrounds,1195
Calhoun,,,,"3908'56.5""N 9037'06.5""W",9966
Calhoun,,,,Brussels St. Mary's School,1032
Calhoun,,,,"52 Poor Farm Hollow Rd, Hardin, IL",9043
Calhoun,,,,"121 Main St, Brussels, IL 62013",4603
Calhoun,,,,McCully Heritage,151
Calhoun,,,,Calhoun Elementary,459
Carroll,,,,,9713
Carroll,,,,,9714
Carroll,,,,,9715
Carroll,,,,,9720
Carroll,,,,,10198
Carroll,,,,,11678
Carroll,,,,Shannon,3441
Carroll,,,,Milledgeville,521
Carroll,,,,"1834 S. IL Route 2, Oregon",7658
Carroll,,,,Thomson Library,524
Carroll,,,,Savanna,3641
Carroll,,,,Savanna,3643
Carroll,,,,Savanna,3645
Carroll,,,,Savanna,3652
Carroll,,,,Savanna,3654
Carroll,,,,Savanna,3656
Carroll,,,,Savanna,3658
Carroll,,,,Savanna,3665
Carroll,,,,Shannon,3408
Carroll,,,,Shannon,3436
Carroll,,,,Shannon,3437
Carroll,,,,Shannon,3438
Carroll,,,,Shannon,3439
Carroll,,,,Shannon,3440
Carroll,,,,Shannon,3442
Carroll,,,,Savanna,3597
Carroll,,,,Savanna,3603
Carroll,,,,Savanna,3604
Carroll,,,,Savanna,3607
Carroll,,,,Savanna,3608
Carroll,,,,Savanna,3611
Carroll,,,,Savanna,3612
Carroll,,,,Savanna,3615
Carroll,,,,Savanna,3616
Carroll,,,,Savanna,3617
Carroll,,,,"1005 W. Main, Thomson",11679
Carroll,,,,Savanna,3672
Carroll,,,,Savanna,3674
Carroll,,,,Savanna,3690
Carroll,,,,Savanna,3692
Carroll,,,,Savanna,3693
Carroll,,,,Savanna,3695
Carroll,,,,Savanna,3697
Carroll,,,,Savanna,3698
Carroll,,,,Savanna,3526
Carroll,,,,Savanna,3527
Carroll,,,,Savanna,3528
Carroll,,,,Savanna,3533
Carroll,,,,Savanna,3534
Carroll,,,,Savanna,3536
Carroll,,,,Savanna,3538
Carroll,,,,Savanna,3539
Carroll,,,,Savanna,3541
Carroll,,,,Savanna,3543
Carroll,,,,Savanna,3873
Carroll,,,,Savanna,3876
Carroll,,,,Savanna,3877
Carroll,,,,Savanna,3878
Carroll,,,,Savanna,3879
Carroll,,,,Savanna,3880
Carroll,,,,Savanna,3882
Carroll,,,,Savanna,3884
Carroll,,,,Mt. Carroll,3930
Carroll,,,,Mt. Carroll,3931
Carroll,,,,Mt. Carroll,3932
Carroll,,,,Mt. Carroll,3933
Carroll,,,,Mt. Carroll,3935
Carroll,,,,Mt. Carroll,3936
Carroll,,,,Mt. Carroll,3937
Carroll,,,,Savanna,3684
Carroll,,,,Savanna,3689
Carroll,,,,Savanna,3743
Carroll,,,,Savanna,3750
Carroll,,,,Savanna,3751
Carroll,,,,Savanna,3752
Carroll,,,,Savanna,3754
Carroll,,,,Savanna,3755
Carroll,,,,Shannon,3391
Carroll,,,,Shannon,3393
Carroll,,,,Shannon,3395
Carroll,,,,Shannon,3396
Carroll,,,,Shannon,3397
Carroll,,,,Shannon,3399
Carroll,,,,Shannon,3401
Carroll,,,,Shannon,3403
Carroll,,,,Mt. Carroll,3897
Carroll,,,,Mt. Carroll,3898
Carroll,,,,Mt. Carroll,3899
Carroll,,,,Mt. Carroll,3901
Carroll,,,,Mt. Carroll,3902
Carroll,,,,Mt. Carroll,3903
Carroll,,,,Mt. Carroll,3904
Carroll,,,,Chadwick,3385
Carroll,,,,Savanna,3549
Carroll,,,,Savanna,3550
Carroll,,,,Savanna,3552
Carroll,,,,Savanna,3559
Carroll,,,,Savanna,3561
Carroll,,,,Savanna,3562
Carroll,,,,Savanna,3564
Carroll,,,,Savanna,3567
Carroll,,,,Savanna,3569
Carroll,,,,Savanna,3571
Carroll,,,,Savanna,3758
Carroll,,,,Savanna,3762
Carroll,,,,Savanna,3764
Carroll,,,,Savanna,3766
Carroll,,,,Savanna,3769
Carroll,,,,Savanna,3770
Carroll,,,,Savanna,3771
Carroll,,,,Savanna,3773
Carroll,,,,Savanna,3888
Carroll,,,,Savanna,3889
Carroll,,,,Savanna,3890
Carroll,,,,Savanna,3891
Carroll,,,,Savanna,3892
Carroll,,,,Savanna,3893
Carroll,,,,Savanna,3894
Carroll,,,,Savanna,3895
Carroll,,,,Savanna,3772
Carroll,,,,Savanna,3774
Carroll,,,,Savanna,3776
Carroll,,,,Savanna,3777
Carroll,,,,Savanna,3778
Carroll,,,,Savanna,3780
Carroll,,,,Savanna,3781
Carroll,,,,Savanna,3782
Carroll,,,,Chadwick,3374
Carroll,,,,Savanna,3736
Carroll,,,,Savanna,3739
Carroll,,,,Savanna,3740
Carroll,,,,Savanna,3759
Carroll,,,,Savanna,3760
Carroll,,,,Savanna,3761
Carroll,,,,Savanna,3763
Carroll,,,,Savanna,3767
Carroll,,,,Savanna,3577
Carroll,,,,Savanna,3578
Carroll,,,,Savanna,3580
Carroll,,,,Savanna,3581
Carroll,,,,Savanna,3584
Carroll,,,,Savanna,3585
Carroll,,,,Savanna,3586
Carroll,,,,Savanna,3588
Carroll,,,,Savanna,3590
Carroll,,,,Savanna,3592
Carroll,,,,Savanna,3705
Carroll,,,,Savanna,3708
Carroll,,,,Savanna,3709
Carroll,,,,Savanna,3711
Carroll,,,,Savanna,3716
Carroll,,,,Savanna,3719
Carroll,,,,Savanna,3721
Carroll,,,,Savanna,3724
Carroll,,,,Shannon,3466
Carroll,,,,Shannon,3477
Carroll,,,,Shannon,3478
Carroll,,,,Shannon,3480
Carroll,,,,Shannon,3482
Carroll,,,,Shannon,3484
Carroll,,,,Shannon,3486
Carroll,,,,Shannon,3489
Carroll,,,,Savanna,3784
Carroll,,,,Savanna,3785
Carroll,,,,Savanna,3786
Carroll,,,,Savanna,3787
Carroll,,,,Savanna,3789
Carroll,,,,Savanna,3790
Carroll,,,,Savanna,3791
Carroll,,,,Savanna,3792
Carroll,,,,Savanna,3794
Carroll,,,,Savanna,3795
Carroll,,,,Savanna,3796
Carroll,,,,Savanna,3797
Carroll,,,,Savanna,3798
Carroll,,,,Savanna,3799
Carroll,,,,Savanna,3800
Carroll,,,,Savanna,3801
Carroll,,,,Shannon,3517
Carroll,,,,Shannon,3518
Carroll,,,,Shannon,3519
Carroll,,,,Shannon,3520
Carroll,,,,Shannon,3565
Carroll,,,,Shannon,3568
Carroll,,,,Shannon,3570
Carroll,,,,Shannon,3572
Carroll,,,,Shannon,3574
Carroll,,,,Shannon,3576
Carroll,,,,Savanna,3653
Carroll,,,,Savanna,3655
Carroll,,,,Savanna,3657
Carroll,,,,Savanna,3659
Carroll,,,,Savanna,3660
Carroll,,,,Savanna,3664
Carroll,,,,Savanna,3668
Carroll,,,,Savanna,3671
Carroll,,,,Savanna,3673
Carroll,,,,Savanna,3676
Carroll,,,,Savanna,3677
Carroll,,,,Savanna,3678
Carroll,,,,Mt. Carroll,3908
Carroll,,,,Mt. Carroll,3909
Carroll,,,,Mt. Carroll,3910
Carroll,,,,Mt. Carroll,3912
Carroll,,,,Mt. Carroll,3913
Carroll,,,,Mt. Carroll,3916
Carroll,,,,Mt. Carroll,3918
Carroll,,,,Savanna,3626
Carroll,,,,Savanna,3629
Carroll,,,,Savanna,3632
Carroll,,,,Savanna,3633
Carroll,,,,Savanna,3635
Carroll,,,,Savanna,3621
Carroll,,,,Savanna,3636
Carroll,,,,Savanna,3642
Carroll,,,,Savanna,3644
Carroll,,,,Savanna,3646
Carroll,,,,Savanna,3648
Carroll,,,,Savanna,3649
Carroll,,,,Mt. Carroll,3921
Carroll,,,,Mt. Carroll,3922
Carroll,,,,Mt. Carroll,3923
Carroll,,,,Mt. Carroll,3924
Carroll,,,,Mt. Carroll,3926
Carroll,,,,Mt. Carroll,3927
Carroll,,,,Mt. Carroll,3928
Carroll,,,,Shannon,3492
Carroll,,,,Shannon,3494
Carroll,,,,Shannon,3506
Carroll,,,,Shannon,3507
Carroll,,,,Shannon,3508
Carroll,,,,Shannon,3509
Carroll,,,,Shannon,3510
Carroll,,,,Shannon,3511
Carroll,,,,Shannon,3512
Carroll,,,,Shannon,3513
Carroll,,,,Shannon,3444
Carroll,,,,Shannon,3445
Carroll,,,,Shannon,3446
Carroll,,,,Shannon,3447
Carroll,,,,Shannon,3448
Carroll,,,,Shannon,3449
Carroll,,,,Shannon,3450
Carroll,,,,Shannon,3451
Carroll,,,,Shannon,3596
Carroll,,,,Shannon,3598
Carroll,,,,Shannon,3601
Carroll,,,,Shannon,3602
Carroll,,,,Mt. Carroll,522
Carroll,,,,"111 S Broad St, Lanark, IL 61046",11219
Carroll,,,,Milledgeville,3804
Carroll,,,,"18 W 5th St, Milledgeville, IL 61051",11222
Carroll,,,,Milledgeville,3807
Carroll,,,,Milledgeville,3808
Carroll,,,,Lanark,3803
Carroll,,,,Chawick Library,7760
Carroll,,,,Thomson Library,305
Carroll,,,,"208 N. Main, Mt. Carroll",7644
Carroll,,,,"601 S Chestnut St, Shannon, IL 61078",9724
Carroll,,,,Milledgeville,3609
Carroll,,,,"601 S Chestnut St, Shannon, IL 61078",10199
Carroll,,,,Savanna,3618
Carroll,,,,"200 South School St, Lanark",11684
Carroll,,,,Mt Carroll,3753
Carroll,,,,Milledgeville,7614
Carroll,,,,Shannon,3614
Carroll,,,,Shannon,3619
Carroll,,,,Thomson,3741
Carroll,,,,Chadwick,3378
Carroll,,,,Eastland Elem,7558
Carroll,,,,Shannon,3443
Carroll,,,,Milledgeville,3628
Carroll,,,,Milledgeville,7613
Carroll,,,,Milledgeville,7611
Carroll,,,,"1005 W. Main, Thomson",7638
Carroll,,,,"601 S Chestnut St, Shannon, IL 61078",10206
Carroll,,,,Milledgeville,3634
Carroll,,,,Savanna,3779
Carroll,,,,Chadwick,3368
Carroll,,,,Lanark Library,7761
Carroll,,,,"633 S East St, Mt Carroll, IL 61053",11218
Carroll,,,,"633 S East St, Mt Carroll, IL 61053",11372
Carroll,,,,Savanna,3669
Carroll,,,,Eastland Elem,7559
Carroll,,,,Savanna,3756
Carroll,,,,WC Primary,7744
Carroll,,,,Savanna,3734
Carroll,,,,Eastland Elem,7563
Carroll,,,,WC Primary,7625
Carroll,,,,WC Primary,7747
Carroll,,,,WC Primary,7752
Carroll,,,,Eastland Elem,7604
Carroll,,,,WC Primary,7749
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11466
Carroll,,,,WC Primary,7740
Carroll,,,,Savanna,3775
Carroll,,,,Savanna,3682
Carroll,,,,Savanna,3885
Carroll,,,,"601 S Chestnut St, Shannon, IL 61078",9721
Carroll,,,,Savanna,3546
Carroll,,,,WC Primary,7739
Carroll,,,,WC Primary,7627
Carroll,,,,Savanna,3702
Carroll,,,,WC Primary,7746
Carroll,,,,WC Primary,7626
Carroll,,,,Shannon,3465
Carroll,,,,WC Primary,7748
Carroll,,,,Savanna,3573
Carroll,,,,Savanna,3793
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11144
Carroll,,,,Savanna,3651
Carroll,,,,Savanna,3666
Carroll,,,,WC Primary,7754
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11368
Carroll,,,,WC Primary,7750
Carroll,,,,Chadwik Elem,7547
Carroll,,,,Shannon,3490
Carroll,,,,Mt. Carroll,3919
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11199
Carroll,,,,Savanna,3805
Carroll,,,,"326 3rd St, Savanna, IL 61074",11223
Carroll,,,,Milledgeville,3605
Carroll,,,,Savanna,3639
Carroll,,,,Savanna,3593
Carroll,,,,Savanna,3525
Carroll,,,,WC Primary,7743
Carroll,,,,Savanna,3783
Carroll,,,,"633 S East St, Mt Carroll, IL 61053",11216
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11207
Carroll,,,,Mt. Carroll,3906
Carroll,,,,Savanna,3625
Carroll,,,,"2215 Wacker Rd Savanna, IL 61074",10225
Carroll,,,,Milledgeville,7609
Carroll,,,,Milledgeville,3630
Carroll,,,,"208 N Main St, Mt Carroll, IL 61053",11221
Carroll,,,,WC Primary,7620
Carroll,,,,Mt. Carroll,3929
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11188
Carroll,,,,Shannon,3515
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11212
Carroll,,,,Thomson,3812
Carroll,,,,"601 S Chestnut St, Shannon, IL 61078",9722
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11189
Carroll,,,,WC Primary,7737
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11154
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11170
Carroll,,,,Savanna,3768
Carroll,,,,Lanark,2741
Carroll,,,,WC Primary,7623
Carroll,,,,Eastland Elem,7561
Carroll,,,,Shannon,3387
Carroll,,,,WC Primary,7616
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11197
Carroll,,,,WC Middle School,7758
Carroll,,,,WC Middle School,7755
Carroll,,,,"35 Wilson Ave, Chadwick, IL 61014",9716
Carroll,,,,Savanna,3809
Carroll,,,,Thomson,3806
Carroll,,,,Chadwick,3357
Carroll,,,,"200 South School St, Lanark",7870
Carroll,,,,Shannon,3405
Carroll,,,,"111 S Broad St, Lanark, IL 61046",11366
Carroll,,,,Eastland Elem,7562
Carroll,,,,"2215 Wacker Rd, Savanna, IL 61074",11367
Carroll,,,,WC Middle School,7757
Carroll,,,,Savanna,3896
Carroll,,,,Savanna Library,7764
Carroll,,,,"100 E 8th St Milledgeville, IL 61051",10212
Carroll,,,,Shannon,3589
Carroll,,,,Lanark,3810
Carroll,,,,Eastland Elem,7606
Carroll,,,,Mt Carroll Library,7763
Carroll,,,,Lake Carroll,3811
Carroll,,,,"1005 W Main St, Thomson, IL 61285",11220
Carroll,,,,Mt. Carroll,1277
Carroll,,,,Thomson Library,7765
Carroll,,,,Mt. Carroll,1276
Carroll,,,,Palisades State Park,177
Carroll,,,,Mt. Carroll,175
Carroll,,,,Palisdes State Park,4025
Cass,,,,"651 S Job St, Virginia, IL",9962
Cass,,,,"13 Boulevard Rd, Beardstown, IL",8651
Cass,,,,Beardstown,1554
Cass,,,,"110 N East St, Jacksonville, IL",9046
Cass,,,,"110 N East St, Jacksonville, IL",9047
Cass,,,,Virginia Elementary School,124
Cass,,,,Virginia,269
Cass,,,,"651 S Morgan St, Virginia, IL 62691",4024
Cass,,,,"110 N East St, Jacksonville, IL 62650",5390
Cass,,,,Virginia Elementary School,125
Cass,,,,Jacksonville,1188
Cass,,,,Beardstown,148
Cass,,,,"500 E 15th St, Beardstown, IL 62618",4511
Cass,,,,Gard Elementary,1255
Champaign,,,,"403 S Wright St, Champaign, IL",9155
Champaign,,,,"Champaign Park District, 706 Kenwood Rd, Champaign, IL 61821",6740
Champaign,,,,"801 N Country Fair Dr d, Champaign, IL 61821",5256
Champaign,,,,"2400 W Bradley Ave, Champaign, IL",10648
Champaign,,,,"905 S Goodwin Ave, Urbana, IL 61801",4957
Champaign,,,,"Parkland College T Building, Champaign, IL",5869
Champaign,,,,"1302 N Coler Ave, Urbana, IL",9647
Champaign,,,,"206 East Diller, Broadlands, IL",8347
Champaign,,,,"403 S Wright St, Champaign, IL 61820",8104
Champaign,,,,Leal Elementary 312 W. Oregon St. Urbana,264
Champaign,,,,"1008 W Hazelwood Dr, Urbana, IL 61802",4413
Champaign,,,,Douglass Community Center,2269
Champaign,,,,Prairie Fruit Farms,1639
Champaign,,,,Leal Elementary 312 W. Oregon St. Urbana,339
Champaign,,,,"202 S Broadway Ave, Urbana, IL 61801",4118
Champaign,,,,Mahomet Area Youth Club,2270
Champaign,,,,"226 E Sangamon St, Fisher, IL",10005
Champaign,,,,"1127 County Rd 800, Tolono, IL",7984
Champaign,,,,"1501 Park St, Champaign, IL",11295
Champaign,,,,Unity East Elementary School,3285
Champaign,,,,Parkland College,1638
Champaign,,,,,1307
Champaign,,,,1841 Orchard Place Urbana IL,265
Champaign,,,,Thomas Paine Elementary,311
Champaign,,,,Fisher Christian Kids Club,494
Champaign,,,,"406 S Main St, Gifford, IL 61847",4541
Champaign,,,,316 W Oregon St Urbana IL,235
Champaign,,,,,1309
Champaign,,,,Unity East Elementary,239
Champaign,,,,Urbana High School,550
Champaign,,,,UI Extension Office,492
Champaign,,,,"Multicultural Community Center, 1126 Country Club Ln, Rantoul, IL 61866",6738
Champaign,,,,Leonhard Recreation Center,1635
Champaign,,,,St. Thomas,238
